ID,Label
0,1
1,3
2,0
3,1
4,1
5,0
6,3
7,1
8,3
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,2
17,3
18,0
19,3
20,2
21,1
22,0
23,1
24,3
25,3
26,1
27,2
28,2
29,3
30,1
31,3
32,2
33,3
34,2
35,3
36,0
37,1
38,0
39,1
40,3
41,0
42,0
43,2
44,3
45,1
46,2
47,3
48,3
49,1
50,1
51,2
52,0
53,3
54,3
55,0
56,0
57,1
58,1
59,1
60,1
61,3
62,0
63,1
64,1
65,0
66,3
67,0
68,0
69,3
70,0
71,1
72,0
73,0
74,3
75,2
76,1
77,0
78,0
79,3
80,3
81,1
82,2
83,3
84,3
85,2
86,0
87,3
88,3
89,3
90,0
91,0
92,1
93,0
94,1
95,3
96,1
97,2
98,2
99,1
100,3
101,1
102,0
103,3
104,0
105,1
106,2
107,0
108,2
109,0
110,0
111,3
112,0
113,1
114,2
115,0
116,2
117,3
118,3
119,0
120,2
121,0
122,1
123,2
124,1
125,0
126,3
127,2
128,3
129,0
130,1
131,3
132,3
133,3
134,0
135,2
136,1
137,2
138,3
139,0
140,0
141,0
142,0
143,0
144,1
145,2
146,3
147,0
148,1
149,3
150,3
151,0
152,0
153,1
154,0
155,0
156,2
157,0
158,1
159,0
160,0
161,1
162,0
163,2
164,3
165,1
166,0
167,3
168,3
169,2
170,0
171,3
172,3
173,1
174,3
175,2
176,1
177,3
178,0
179,3
180,0
181,0
182,1
183,2
184,0
185,1
186,3
187,1
188,1
189,2
190,3
191,1
192,3
193,3
194,2
195,0
196,1
197,0
198,0
199,0
200,0
201,3
202,0
203,1
204,1
205,3
206,3
207,0
208,2
209,3
210,3
211,0
212,0
213,1
214,0
215,1
216,3
217,0
218,1
219,1
220,3
221,3
222,3
223,2
224,2
225,0
226,0
227,2
228,0
229,1
230,0
231,2
232,3
233,0
234,0
235,1
236,0
237,0
238,3
239,1
240,0
241,3
242,3
243,1
244,1
245,3
246,2
247,2
248,2
249,3
250,1
251,0
252,0
253,0
254,2
255,3
256,0
257,0
258,1
259,0
260,2
261,3
262,1
263,0
264,1
265,0
266,0
267,1
268,1
269,3
270,2
271,0
272,1
273,2
274,1
275,1
276,0
277,3
278,2
279,3
280,0
281,0
282,0
283,1
284,0
285,2
286,3
287,3
288,0
289,3
290,0
291,0
292,2
293,3
294,0
295,1
296,1
297,1
298,2
299,1
300,2
301,0
302,2
303,3
304,2
305,1
306,1
307,2
308,3
309,0
310,2
311,1
312,2
313,1
314,3
315,2
316,0
317,3
318,1
319,2
320,0
321,1
322,3
323,0
324,1
325,3
326,3
327,1
328,1
329,3
330,0
331,1
332,1
333,2
334,1
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,3
344,3
345,2
346,3
347,2
348,0
349,3
350,0
351,0
352,1
353,3
354,0
355,0
356,3
357,0
358,2
359,2
360,2
361,2
362,0
363,2
364,3
365,0
366,3
367,0
368,3
369,2
370,1
371,1
372,3
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,1
381,3
382,0
383,1
384,1
385,1
386,1
387,3
388,0
389,1
390,1
391,1
392,0
393,2
394,0
395,3
396,1
397,3
398,1
399,3
400,0
401,2
402,0
403,3
404,3
405,2
406,3
407,3
408,2
409,3
410,3
411,1
412,1
413,3
414,3
415,3
416,2
417,0
418,0
419,3
420,1
421,2
422,0
423,3
424,0
425,0
426,3
427,0
428,0
429,1
430,1
431,0
432,2
433,2
434,2
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,3
445,2
446,3
447,3
448,0
449,0
450,0
451,2
452,0
453,0
454,3
455,2
456,2
457,2
458,3
459,1
460,1
461,2
462,2
463,3
464,3
465,2
466,3
467,2
468,0
469,0
470,1
471,0
472,0
473,0
474,2
475,0
476,1
477,0
478,3
479,3
480,1
481,3
482,2
483,1
484,0
485,0
486,3
487,1
488,1
489,1
490,2
491,3
492,0
493,0
494,3
495,0
496,1
497,1
498,2
499,0
500,0
501,3
502,1
503,2
504,0
505,1
506,1
507,3
508,2
509,2
510,0
511,0
512,0
513,1
514,0
515,1
516,1
517,0
518,0
519,3
520,2
521,0
522,0
523,1
524,1
525,2
526,3
527,3
528,0
529,2
530,3
531,0
532,3
533,2
534,2
535,1
536,2
537,0
538,1
539,0
540,1
541,2
542,3
543,0
544,0
545,1
546,0
547,1
548,3
549,3
550,1
551,3
552,2
553,3
554,3
555,1
556,1
557,3
558,0
559,3
560,0
561,3
562,0
563,3
564,2
565,0
566,1
567,3
568,3
569,0
570,3
571,0
572,2
573,0
574,3
575,3
576,1
577,3
578,0
579,3
580,1
581,0
582,0
583,3
584,1
585,3
586,1
587,0
588,2
589,3
590,3
591,1
592,0
593,2
594,2
595,3
596,3
597,1
598,1
599,0
600,3
601,1
602,3
603,2
604,2
605,3
606,0
607,0
608,2
609,3
610,0
611,1
612,1
613,1
614,1
615,3
616,1
617,1
618,0
619,1
620,3
621,3
622,1
623,1
624,2
625,0
626,3
627,0
628,1
629,0
630,2
631,2
632,3
633,0
634,3
635,3
636,3
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,3
646,0
647,1
648,1
649,3
650,1
651,3
652,3
653,3
654,3
655,0
656,3
657,0
658,3
659,3
660,3
661,1
662,1
663,0
664,2
665,2
666,0
667,0
668,1
669,0
670,1
671,1
672,2
673,1
674,2
675,1
676,3
677,3
678,2
679,3
680,1
681,3
682,1
683,1
684,2
685,0
686,3
687,3
688,3
689,1
690,3
691,0
692,3
693,0
694,3
695,2
696,2
697,0
698,3
699,3
700,3
701,1
702,3
703,1
704,0
705,0
706,3
707,1
708,0
709,1
710,1
711,0
712,3
713,0
714,0
715,3
716,0
717,3
718,3
719,1
720,1
721,0
722,2
723,0
724,2
725,2
726,3
727,1
728,0
729,0
730,0
731,2
732,0
733,1
734,2
735,0
736,1
737,1
738,1
739,3
740,0
741,2
742,3
743,1
744,1
745,3
746,1
747,0
748,1
749,3
750,3
751,3
752,2
753,3
754,2
755,2
756,2
757,3
758,1
759,3
760,3
761,1
762,2
763,0
764,3
765,2
766,3
767,0
768,3
769,0
770,0
771,0
772,3
773,0
774,1
775,1
776,1
777,0
778,0
779,1
780,3
781,3
782,0
783,1
784,3
785,3
786,1
787,0
788,0
789,2
790,0
791,3
792,3
793,3
794,1
795,3
796,0
797,1
798,1
799,2
800,3
801,2
802,1
803,1
804,1
805,3
806,1
807,1
808,0
809,2
810,0
811,2
812,1
813,0
814,1
815,2
816,3
817,0
818,0
819,2
820,3
821,2
822,1
823,0
824,1
825,3
826,2
827,3
828,0
829,3
830,0
831,2
832,0
833,2
834,0
835,0
836,0
837,0
838,0
839,0
840,3
841,3
842,0
843,2
844,3
845,3
846,3
847,3
848,3
849,1
850,2
851,0
852,3
853,3
854,2
855,2
856,0
857,2
858,3
859,1
860,3
861,2
862,0
863,0
864,3
865,2
866,1
867,3
868,3
869,1
870,3
871,0
872,1
873,1
874,0
875,0
876,0
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,3
885,0
886,1
887,1
888,1
889,0
890,0
891,3
892,0
893,1
894,0
895,0
896,2
897,1
898,1
899,2
900,2
901,2
902,1
903,3
904,3
905,1
906,1
907,2
908,3
909,3
910,3
911,3
912,1
913,1
914,1
915,1
916,3
917,3
918,0
919,3
920,2
921,2
922,1
923,1
924,2
925,0
926,1
927,1
928,2
929,2
930,1
931,3
932,0
933,0
934,1
935,3
936,3
937,2
938,2
939,3
940,0
941,3
942,1
943,3
944,0
945,2
946,2
947,3
948,1
949,1
950,3
951,0
952,0
953,0
954,2
955,2
956,1
957,0
958,1
959,0
960,1
961,1
962,0
963,1
964,2
965,0
966,0
967,1
968,3
969,1
970,1
971,1
972,0
973,0
974,0
975,0
976,1
977,1
978,2
979,1
980,3
981,2
982,2
983,0
984,3
985,0
986,1
987,1
988,3
989,0
990,2
991,1
992,0
993,1
994,2
995,1
996,3
997,3
998,3
999,2
1000,0
1001,1
1002,1
1003,0
1004,3
1005,3
1006,0
1007,0
1008,1
1009,3
1010,1
1011,1
1012,3
1013,3
1014,2
1015,2
1016,1
1017,3
1018,3
1019,3
1020,1
1021,3
1022,0
1023,3
1024,0
1025,0
1026,2
1027,0
1028,0
1029,3
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,3
1040,3
1041,2
1042,1
1043,2
1044,0
1045,1
1046,2
1047,3
1048,3
1049,3
1050,3
1051,0
1052,3
1053,1
1054,1
1055,3
1056,0
1057,2
1058,3
1059,3
1060,3
1061,1
1062,3
1063,2
1064,3
1065,1
1066,0
1067,1
1068,0
1069,1
1070,3
1071,2
1072,2
1073,3
1074,1
1075,1
1076,3
1077,0
1078,3
1079,0
1080,1
1081,2
1082,1
1083,2
1084,1
1085,0
1086,0
1087,3
1088,3
1089,0
1090,2
1091,1
1092,2
1093,3
1094,3
1095,3
1096,3
1097,2
1098,0
1099,2
1100,1
1101,3
1102,0
1103,2
1104,0
1105,3
1106,1
1107,1
1108,0
1109,1
1110,1
1111,0
1112,2
1113,3
1114,0
1115,1
1116,1
1117,0
1118,2
1119,1
1120,3
1121,2
1122,0
1123,1
1124,3
1125,2
1126,2
1127,1
1128,2
1129,3
1130,3
1131,3
1132,3
1133,3
1134,1
1135,0
1136,0
1137,2
1138,1
1139,0
1140,3
1141,1
1142,2
1143,0
1144,1
1145,1
1146,0
1147,1
1148,3
1149,0
1150,2
1151,3
1152,3
1153,0
1154,3
1155,1
1156,1
1157,3
1158,0
1159,1
1160,3
1161,2
1162,0
1163,3
1164,1
1165,2
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,3
1173,1
1174,2
1175,3
1176,1
1177,2
1178,2
1179,0
1180,1
1181,1
1182,3
1183,0
1184,1
1185,1
1186,0
1187,0
1188,3
1189,3
1190,3
1191,1
1192,3
1193,3
1194,0
1195,1
1196,0
1197,1
1198,3
1199,0
1200,0
1201,3
1202,3
1203,0
1204,3
1205,0
1206,3
1207,1
1208,0
1209,0
1210,3
1211,0
1212,3
1213,2
1214,3
1215,0
1216,3
1217,1
1218,1
1219,3
1220,0
1221,1
1222,0
1223,1
1224,2
1225,3
1226,1
1227,0
1228,2
1229,0
1230,1
1231,2
1232,1
1233,0
1234,2
1235,2
1236,3
1237,3
1238,3
1239,1
1240,1
1241,0
1242,0
1243,1
1244,3
1245,3
1246,3
1247,2
1248,3
1249,3
1250,0
1251,3
1252,2
1253,2
1254,3
1255,3
1256,0
1257,0
