Id,gripForce
0,36.63632886279762
1,35.28792927459332
2,53.32362789254925
3,38.643835797075006
4,46.252888403890736
5,43.88725597438572
6,39.11164604302598
7,43.052578656565075
8,42.92400479996589
9,41.700399073660606
10,47.14413788151966
11,61.23862439539538
12,55.44330314239539
13,35.130536167686714
14,43.69480009336158
15,43.50224703540752
16,43.88725597438572
17,39.04670586980864
18,37.87593639022836
19,45.55113630964199
20,56.00230434571452
21,44.912046129475975
22,56.498460078527735
23,54.94567895819685
24,35.19612418710346
25,60.565377533920724
26,52.070929482727394
27,38.4617584262031
28,44.84807772555776
29,36.113222728088886
30,55.3189618809657
31,46.50774706051786
32,43.50224703540752
33,43.43804108788285
34,51.06566109311272
35,39.3193820385471
36,31.122499226952794
37,60.07492284766233
38,30.37982310614703
39,41.37774972053875
40,34.47406211450316
41,46.57143473108299
42,53.38614943995543
43,40.53759810233308
44,35.26170140908354
45,52.69781855947116
46,38.4617584262031
47,36.63632886279762
48,35.65493799479427
49,44.912046129475975
50,50.49898291233059
51,38.20150105124756
52,40.79630064641003
53,46.63511160421146
54,42.08722198199715
55,49.42620455957427
56,40.66697096924487
57,52.94827186194227
58,36.17864878595577
59,56.622391037364466
60,55.13236900804623
61,33.487326515354674
62,56.37448592994437
63,53.761051978222824
64,49.42620455957427
65,57.674060401456636
66,39.37129876152873
67,33.75069355206739
68,56.250468591614386
69,44.33594178649239
70,59.64520813176175
71,45.27006965478855
72,56.68434032062785
73,53.32362789254925
74,68.73757810720086
75,37.08042575028745
76,38.52679577635035
77,46.252888403890736
78,51.58120644481453
79,63.97921133124041
80,45.35952262867708
81,48.79370081576893
82,42.92400479996589
83,43.30959680052355
84,48.98356531199543
85,44.20779982735948
86,35.327267833626976
87,42.34488797215505
88,35.85141052225475
89,39.76045391618316
90,33.0919520371859
91,50.37293565590911
92,38.13640971391703
93,37.745634943764074
94,52.44719249801353
95,38.006194646946014
96,57.79758105770042
97,47.52545409716121
98,55.69185609601491
99,35.916879769868274
